ncessch_id,school_name,zip_codes,state,math_num,math_prof,read_num,read_prof
480006111122,NEW FRONTIERS MIDDLE SCH,78223,TX,207,71,207,77
261062000586,Mill Creek Middle School,49321,MI,496,83,497,80
421899009960,Roosevelt Theodore MS,19144,PA,397,49,394,58
341081004368,ALEXANDER HAMILTON,7960,NJ,279,73,278,57
551449001868,Benjamin Franklin Junior High,54481,WI,536,88,536,92
350006000782,PAINTED SKY ELEMENTARY,87125,NM,523,44,525,50
551449001874,Madison Elementary,54481,WI,212,83,211,79
551449001875,McDill Academies School,54481,WI,210,92,210,93
551449001877,P J Jacobs Junior High,54481,WI,463,88,463,88
551449001878,Plover-Whiting Elementary,54467,WI,251,83,251,82
551449001879,Roosevelt IDEA,54467,WI,280,86,280,87
551449001880,Stevens Point Area Senior High,54481,WI,522,75,519,81
551449001881,Washington Elementary,54481,WI,218,86,218,90
440033000092,Alice M. Waddington School,2915,RI,223,64,223,69
483312009134,WARREN H S,78251,TX,664,80,666,93
483312009135,RHODES ES,78240,TX,233,91,230,91
483312009136,NICHOLS ES,78254,TX,362,97,360,95
201071001591,Pittsburg Middle School,66762,KS,565,70,563,86
62927011873,Camarillo Academy of Progressive Education,93010,CA,388,79,388,81
484122012227,RALPH EICKENROHT EL,77090,TX,256,77,254,76
130129002475,Cooper Middle School,30106,GA,827,83,882,93
551449001914,McKinley Center,54481,WI,254,77,254,82
173732003865,St George Elem School,60914,IL,315,85,315,83
482060009427,WILLIAMS EL,78626,TX,356,94,356,95
421689005260,Newport El Sch,17074,PA,241,76,241,73
362121002995,KARL W SAILE BEAR ROAD ELEMENTARY SCHOOL,13212,NY,271,65,271,57
362121002998,GILLETTE ROAD MIDDLE SCHOOL,13039,NY,1249,76,1252,61
362121002999,LAKESHORE ROAD ELEMENTARY SCHOOL,13039,NY,239,68,239,64
362121003001,NORTH SYRACUSE JUNIOR HIGH SCHOOL,13212,NY,713,61,710,51
362121003003,ROXBORO ROAD ELEMENTARY SCHOOL,13211,NY,251,64,252,50
362121003004,ROXBORO ROAD MIDDLE SCHOOL,13211,NY,957,61,954,47
362121003005,SMITH ROAD ELEMENTARY SCHOOL,13212,NY,214,67,213,57
270819000342,CHANHASSEN ELEMENTARY,55317,MN,317,70,317,88
270819000343,CHASKA HIGH SCHOOL,55318,MN,270,50,273,90
270819000344,CHASKA ELEMENTARY,55318,MN,298,66,298,82
270819000345,CHASKA MIDDLE SCHOOL EAST,55318,MN,693,65,692,82
361738001541,ALBANY AVENUE SCHOOL,11757,NY,247,66,246,56
61111009358,La Quinta Middle,92253,CA,648,31,655,50
390480003075,Licking Heights Central,43062,OH,755,81,756,83
390480003076,Licking Heights South,43062,OH,443,81,459,80
291308000546,GRAIN VALLEY HIGH,64029,MO,201,33,222,82
551449001872,Jefferson School for the Arts,54481,WI,210,80,209,89
260279001142,Anchor Bay Middle School South,48047,MI,555,87,552,88
421737005062,George Wolf El Sch,18014,PA,367,84,367,75
250279000222,Dearborn,2119,MA,226,24,230,33
60270007642,West Valley High,96022,CA,242,79,242,76
